time,value
3.22,0.00312258
3.23,0.00311811
3.24,0.00311365
3.25,0.00310919
3.26,0.00310474
3.27,0.0031003
3.28,0.00309586
3.29,0.00309143
3.3,0.003087
3.31,0.00308259
3.32,0.00307817
3.33,0.00307377
3.34,0.00306937
3.35,0.00306498
3.36,0.00306059
3.37,0.00305621
3.38,0.00305184
3.39,0.00304747
3.4,0.00304311
3.41,0.00303875
3.42,0.0030344
3.43,0.00303006
3.44,0.00302572
3.45,0.00302139
3.46,0.00301707
3.47,0.00301275
3.48,0.00300844
3.49,0.00300413
3.5,0.00299983
3.51,0.00299554
3.52,0.00299125
3.53,0.00298697
3.54,0.0029827
3.55,0.00297843
3.56,0.00297417
3.57,0.00296991
3.58,0.00296566
3.59,0.00296141
3.6,0.00295718
3.61,0.00295294
3.62,0.00294872
3.63,0.0029445
3.64,0.00294028
3.65,0.00293607
3.66,0.00293187
3.67,0.00292768
3.68,0.00292349
3.69,0.0029193
3.7,0.00291512
3.71,0.00291095
3.72,0.00290679
3.73,0.00290262
3.74,0.00289847
3.75,0.00289432
3.76,0.00289018
3.77,0.00288604
3.78,0.00288191
3.79,0.00287779
3.8,0.00287367
3.81,0.00286956
3.82,0.00286545
3.83,0.00286135
3.84,0.00285725
3.85,0.00285316
3.86,0.00284908
3.87,0.002845
3.88,0.00284093
3.89,0.00283687
3.9,0.00283281
3.91,0.00282875
3.92,0.0028247
3.93,0.00282066
3.94,0.00281662
3.95,0.00281259
3.96,0.00280857
3.97,0.00280455
3.98,0.00280053
3.99,0.00279652
4,0.00279252
4.01,0.00278853
4.02,0.00278453
4.03,0.00278055
4.04,0.00277657
4.05,0.0027726
4.06,0.00276863
4.07,0.00276467
4.08,0.00276071
4.09,0.00275676
4.1,0.00275281
4.11,0.00274887
4.12,0.00274494
4.13,0.00274101
4.14,0.00273709
4.15,0.00273317
4.16,0.00272926
4.17,0.00272535
4.18,0.00272145
4.19,0.00271756
4.2,0.00271367
4.21,0.00270978
4.22,0.0027059
4.23,0.00270203
4.24,0.00269816
4.25,0.0026943
4.26,0.00269045
4.27,0.0026866
4.28,0.00268275
4.29,0.00267891
4.3,0.00267508
4.31,0.00267125
4.32,0.00266743
4.33,0.00266361
4.34,0.0026598
4.35,0.00265599
4.36,0.00265219
4.37,0.00264839
4.38,0.0026446
4.39,0.00264082
4.4,0.00263704
4.41,0.00263326
4.42,0.00262949
4.43,0.00262573
4.44,0.00262197
4.45,0.00261822
4.46,0.00261447
4.47,0.00261073
4.48,0.002607
4.49,0.00260326
4.5,0.00259954
4.51,0.00259582
4.52,0.0025921
4.53,0.00258839
4.54,0.00258469
4.55,0.00258099
4.56,0.0025773
4.57,0.00257361
4.58,0.00256992
4.59,0.00256625
4.6,0.00256257
4.61,0.00255891
4.62,0.00255524
4.63,0.00255159
4.64,0.00254793
4.65,0.00254429
4.66,0.00254065
4.67,0.00253701
4.68,0.00253338
4.69,0.00252975
4.7,0.00252613
4.71,0.00252252
4.72,0.00251891
4.73,0.0025153
4.74,0.0025117
4.75,0.00250811
4.76,0.00250452
4.77,0.00250093
4.78,0.00249735
4.79,0.00249378
4.8,0.00249021
4.81,0.00248665
4.82,0.00248309
4.83,0.00247953
4.84,0.00247598
4.85,0.00247244
4.86,0.0024689
4.87,0.00246537
4.88,0.00246184
4.89,0.00245832
4.9,0.0024548
4.91,0.00245129
