time,value
2.7,2.94813e+36
2.71,-4.0528e+36
2.72,5.57139e+36
2.73,-7.65899e+36
2.74,1.05288e+37
2.75,-1.4474e+37
2.76,1.98974e+37
2.77,-2.7353e+37
2.78,3.76021e+37
2.79,-5.16917e+37
2.8,7.10606e+37
2.81,-9.76871e+37
2.82,1.3429e+38
2.83,-1.84609e+38
2.84,2.53782e+38
2.85,-3.48875e+38
2.86,4.79599e+38
2.87,-6.59305e+38
2.88,9.06347e+38
2.89,-1.24596e+39
2.9,1.71282e+39
2.91,-2.35461e+39
2.92,3.23688e+39
2.93,-4.44975e+39
2.94,6.11707e+39
2.95,-8.40914e+39
2.96,1.15601e+40
2.97,-1.58916e+40
2.98,2.18462e+40
2.99,-3.0032e+40
3,4.1285e+40
3.01,-5.67546e+40
3.02,7.80205e+40
3.03,-1.07255e+41
3.04,1.47443e+41
3.05,-2.02691e+41
3.06,2.78639e+41
3.07,-3.83045e+41
3.08,5.26572e+41
3.09,-7.23879e+41
3.1,9.95118e+41
3.11,-1.36799e+42
3.12,1.88058e+42
3.13,-2.58523e+42
3.14,3.55392e+42
3.15,-4.88557e+42
3.16,6.7162e+42
3.17,-9.23276e+42
3.18,1.26923e+43
3.19,-1.74481e+43
3.2,2.39859e+43
3.21,-3.29735e+43
3.22,4.53286e+43
3.23,-6.23133e+43
3.24,8.56622e+43
3.25,-1.1776e+44
3.26,1.61885e+44
3.27,-2.22543e+44
3.28,3.0593e+44
3.29,-4.20562e+44
3.3,5.78147e+44
3.31,-7.94779e+44
3.32,1.09258e+45
3.33,-1.50197e+45
3.34,2.06477e+45
3.35,-2.83844e+45
3.36,3.902e+45
3.37,-5.36408e+45
3.38,7.37401e+45
3.39,-1.01371e+46
3.4,1.39354e+46
3.41,-1.9157e+46
3.42,2.63352e+46
3.43,-3.6203e+46
3.44,4.97683e+46
3.45,-6.84165e+46
3.46,9.40522e+46
3.47,-1.29294e+47
3.48,1.7774e+47
3.49,-2.44339e+47
3.5,3.35894e+47
3.51,-4.61753e+47
3.52,6.34773e+47
3.53,-8.72622e+47
3.54,1.19959e+48
3.55,-1.64908e+48
3.56,2.267e+48
3.57,-3.11644e+48
3.58,4.28418e+48
3.59,-5.88946e+48
3.6,8.09624e+48
3.61,-1.11299e+49
3.62,1.53003e+49
3.63,-2.10333e+49
3.64,2.89145e+49
3.65,-3.97488e+49
3.66,5.46428e+49
3.67,-7.51175e+49
3.68,1.03264e+50
3.69,-1.41957e+50
3.7,1.95149e+50
3.71,-2.68271e+50
3.72,3.68792e+50
3.73,-5.06979e+50
3.74,6.96944e+50
3.75,-9.5809e+50
3.76,1.31709e+51
3.77,-1.8106e+51
3.78,2.48903e+51
3.79,-3.42168e+51
3.8,4.70378e+51
3.81,-6.46629e+51
3.82,8.88922e+51
3.83,-1.222e+52
3.84,1.67989e+52
3.85,-2.30934e+52
3.86,3.17465e+52
3.87,-4.3642e+52
3.88,5.99947e+52
3.89,-8.24747e+52
3.9,1.13378e+53
3.91,-1.55861e+53
3.92,2.14262e+53
3.93,-2.94546e+53
3.94,4.04913e+53
3.95,-5.56634e+53
3.96,7.65206e+53
3.97,-1.05193e+54
3.98,1.44609e+54
3.99,-1.98794e+54
4,2.73282e+54
4.01,-3.75681e+54
4.02,5.16449e+54
4.03,-7.09963e+54
4.04,9.75986e+54
4.05,-1.34169e+55
4.06,1.84442e+55
4.07,-2.53553e+55
4.08,3.48559e+55
4.09,-4.79164e+55
4.1,6.58708e+55
4.11,-9.05526e+55
4.12,1.24483e+56
4.13,-1.71127e+56
4.14,2.35248e+56
4.15,-3.23395e+56
4.16,4.44572e+56
4.17,-6.11153e+56
4.18,8.40153e+56
4.19,-1.15496e+57
4.2,1.58772e+57
4.21,-2.18264e+57
4.22,3.00048e+57
4.23,-4.12476e+57
4.24,5.67032e+57
4.25,-7.79499e+57
4.26,1.07158e+58
4.27,-1.4731e+58
4.28,2.02507e+58
4.29,-2.78387e+58
4.3,3.82698e+58
4.31,-5.26096e+58
4.32,7.23224e+58
4.33,-9.94217e+58
4.34,1.36675e+59
4.35,-1.87887e+59
4.36,2.58289e+59
4.37,-3.5507e+59
4.38,4.88115e+59
4.39,-6.71012e+59
4.4,9.2244e+59
4.41,-1.26808e+60
4.42,1.74323e+60
4.43,-2.39642e+60
4.44,3.29436e+60
4.45,-4.52876e+60
4.46,6.22569e+60
4.47,-8.55846e+60
4.48,1.17653e+61
4.49,-1.61738e+61
4.5,2.22341e+61
4.51,-3.05653e+61
4.52,4.20181e+61
4.53,-5.77623e+61
4.54,7.94059e+61
4.55,-1.09159e+62
4.56,1.50061e+62
4.57,-2.0629e+62
4.58,2.83587e+62
4.59,-3.89847e+62
4.6,5.35922e+62
4.61,-7.36733e+62
4.62,1.01279e+63
4.63,-1.39228e+63
4.64,1.91397e+63
4.65,-2.63113e+63
4.66,3.61702e+63
4.67,-4.97232e+63
4.68,6.83545e+63
4.69,-9.39671e+63
4.7,1.29177e+64
4.71,-1.77579e+64
4.72,2.44118e+64
4.73,-3.35589e+64
4.74,4.61335e+64
4.75,-6.34198e+64
4.76,8.71832e+64
4.77,-1.19851e+65
4.78,1.64759e+65
4.79,-2.26494e+65
4.8,3.11362e+65
4.81,-4.2803e+65
4.82,5.88413e+65
4.83,-8.08891e+65
4.84,1.11198e+66
4.85,-1.52864e+66
4.86,2.10143e+66
4.87,-2.88884e+66
4.88,3.97129e+66
4.89,-5.45933e+66
4.9,7.50494e+66
4.91,-1.03171e+67
4.92,1.41829e+67
4.93,-1.94972e+67
4.94,2.68028e+67
4.95,-3.68458e+67
4.96,5.0652e+67
4.97,-6.96313e+67
4.98,9.57223e+67
4.99,-1.31589e+68
5,1.80896e+68
5.01,-2.48678e+68
5.02,3.41858e+68
5.03,-4.69952e+68
5.04,6.46044e+68
5.05,-8.88117e+68
5.06,1.2209e+69
